"","city","round","CASEID","WORKGROUP","intervention2","intervention3","intervention4","alter","var","weight","weight_label"
"1",1,1,101,"parole",TRUE,TRUE,TRUE,"city_govt","commFreq",1,"(1) Not Nearly Enough"
"2",1,1,101,"parole",TRUE,TRUE,TRUE,"da_office","commFreq",3,"(3) Just About the RIght Amount"
"3",1,1,101,"parole",TRUE,TRUE,TRUE,"emp_devel","commFreq",1,"(1) Not Nearly Enough"
"4",1,1,101,"parole",TRUE,TRUE,TRUE,"faith_based","commFreq",1,"(1) Not Nearly Enough"
"5",1,1,101,"parole",TRUE,TRUE,TRUE,"family_social","commFreq",1,"(1) Not Nearly Enough"
"6",1,1,101,"parole",TRUE,TRUE,TRUE,"health","commFreq",1,"(1) Not Nearly Enough"
"7",1,1,101,"parole",TRUE,TRUE,TRUE,"parole","commFreq",NA,NA
"8",1,1,101,"parole",TRUE,TRUE,TRUE,"police","commFreq",3,"(3) Just About the RIght Amount"
"9",1,1,101,"parole",TRUE,TRUE,TRUE,"probation","commFreq",3,"(3) Just About the RIght Amount"
"10",1,1,101,"parole",TRUE,TRUE,TRUE,"research","commFreq",1,"(1) Not Nearly Enough"
"11",1,1,101,"parole",TRUE,TRUE,TRUE,"school","commFreq",1,"(1) Not Nearly Enough"
"12",1,1,101,"parole",TRUE,TRUE,TRUE,"youth_out","commFreq",1,"(1) Not Nearly Enough"
"13",1,1,101,"parole",TRUE,TRUE,TRUE,"city_govt","commTimely",1,"(1) Never"
"14",1,1,101,"parole",TRUE,TRUE,TRUE,"corrections","commTimely",4,"(4) Often"
"15",1,1,101,"parole",TRUE,TRUE,TRUE,"da_office","commTimely",3,"(3) Sometimes"
"16",1,1,101,"parole",TRUE,TRUE,TRUE,"emp_devel","commTimely",1,"(1) Never"
"17",1,1,101,"parole",TRUE,TRUE,TRUE,"faith_based","commTimely",1,"(1) Never"
"18",1,1,101,"parole",TRUE,TRUE,TRUE,"family_social","commTimely",1,"(1) Never"
"19",1,1,101,"parole",TRUE,TRUE,TRUE,"health","commTimely",1,"(1) Never"
"20",1,1,101,"parole",TRUE,TRUE,TRUE,"parole","commTimely",NA,NA
"21",1,1,101,"parole",TRUE,TRUE,TRUE,"police","commTimely",5,"(5) Always"
"22",1,1,101,"parole",TRUE,TRUE,TRUE,"probation","commTimely",4,"(4) Often"
"23",1,1,101,"parole",TRUE,TRUE,TRUE,"research","commTimely",1,"(1) Never"
"24",1,1,101,"parole",TRUE,TRUE,TRUE,"school","commTimely",1,"(1) Never"
