"","city","round","CASEID","WORKGROUP","intervention2","intervention3","intervention4","alter","within","between","var","weight","weight_label"
"1",1,1,101,"parole",TRUE,TRUE,TRUE,"city_govt",FALSE,TRUE,"commFreq",1,1
"2",1,1,101,"parole",TRUE,TRUE,TRUE,"corrections",FALSE,TRUE,"commFreq",5,5
"3",1,1,101,"parole",TRUE,TRUE,TRUE,"da_office",FALSE,TRUE,"commFreq",5,5
"4",1,1,101,"parole",TRUE,TRUE,TRUE,"emp_devel",FALSE,TRUE,"commFreq",1,1
"5",1,1,101,"parole",TRUE,TRUE,TRUE,"faith_based",FALSE,TRUE,"commFreq",1,1
"6",1,1,101,"parole",TRUE,TRUE,TRUE,"family_social",FALSE,TRUE,"commFreq",1,1
"7",1,1,101,"parole",TRUE,TRUE,TRUE,"health",FALSE,TRUE,"commFreq",1,1
"8",1,1,101,"parole",TRUE,TRUE,TRUE,"parole",TRUE,FALSE,"commFreq",NA,NA
"9",1,1,101,"parole",TRUE,TRUE,TRUE,"police",FALSE,TRUE,"commFreq",5,5
"10",1,1,101,"parole",TRUE,TRUE,TRUE,"probation",FALSE,TRUE,"commFreq",5,5
"11",1,1,101,"parole",TRUE,TRUE,TRUE,"research",FALSE,TRUE,"commFreq",1,1
"12",1,1,101,"parole",TRUE,TRUE,TRUE,"school",FALSE,TRUE,"commFreq",1,1
"13",1,1,101,"parole",TRUE,TRUE,TRUE,"youth_out",FALSE,TRUE,"commFreq",1,1
"14",1,1,101,"parole",TRUE,TRUE,TRUE,"city_govt",FALSE,TRUE,"commTimely",1,1
"15",1,1,101,"parole",TRUE,TRUE,TRUE,"corrections",FALSE,TRUE,"commTimely",4,4
"16",1,1,101,"parole",TRUE,TRUE,TRUE,"da_office",FALSE,TRUE,"commTimely",3,3
"17",1,1,101,"parole",TRUE,TRUE,TRUE,"emp_devel",FALSE,TRUE,"commTimely",1,1
"18",1,1,101,"parole",TRUE,TRUE,TRUE,"faith_based",FALSE,TRUE,"commTimely",1,1
"19",1,1,101,"parole",TRUE,TRUE,TRUE,"family_social",FALSE,TRUE,"commTimely",1,1
"20",1,1,101,"parole",TRUE,TRUE,TRUE,"health",FALSE,TRUE,"commTimely",1,1
"21",1,1,101,"parole",TRUE,TRUE,TRUE,"parole",TRUE,FALSE,"commTimely",NA,NA
"22",1,1,101,"parole",TRUE,TRUE,TRUE,"police",FALSE,TRUE,"commTimely",5,5
