"","city","round","CASEID","WORKGROUP","intervention2","intervention3","intervention4","alter","within","between","var","weight","weight_label"
"1",1,2,101,"parole",TRUE,TRUE,TRUE,"city_govt",FALSE,TRUE,"fully_missing",0.5,NA
"2",1,2,101,"parole",TRUE,TRUE,TRUE,"emp_devel",FALSE,TRUE,"fully_missing",0.5,NA
"3",1,2,101,"parole",TRUE,TRUE,TRUE,"faith_based",FALSE,TRUE,"fully_missing",0.5,NA
"4",1,2,101,"parole",TRUE,TRUE,TRUE,"family_social",FALSE,TRUE,"fully_missing",0.5,NA
"5",1,2,101,"parole",TRUE,TRUE,TRUE,"research",FALSE,TRUE,"fully_missing",0.5,NA
"6",1,2,101,"parole",TRUE,TRUE,TRUE,"school",FALSE,TRUE,"fully_missing",0.5,NA
"7",1,2,101,"parole",TRUE,TRUE,TRUE,"youth_out",FALSE,TRUE,"fully_missing",0.5,NA
"8",1,3,101,"parole",TRUE,TRUE,TRUE,"city_govt",FALSE,TRUE,"fully_missing",0.5,NA
"9",1,3,101,"parole",TRUE,TRUE,TRUE,"faith_based",FALSE,TRUE,"fully_missing",0.5,NA
"10",1,3,101,"parole",TRUE,TRUE,TRUE,"family_social",FALSE,TRUE,"fully_missing",0.5,NA
"11",1,3,101,"parole",TRUE,TRUE,TRUE,"health",FALSE,TRUE,"fully_missing",0.5,NA
"12",1,3,101,"parole",TRUE,TRUE,TRUE,"research",FALSE,TRUE,"fully_missing",0.5,NA
"13",1,3,101,"parole",TRUE,TRUE,TRUE,"school",FALSE,TRUE,"fully_missing",0.5,NA
"14",1,3,101,"parole",TRUE,TRUE,TRUE,"youth_out",FALSE,TRUE,"fully_missing",0.5,NA
"15",1,4,101,"parole",TRUE,TRUE,TRUE,"city_govt",FALSE,TRUE,"fully_missing",0.5,NA
"16",1,4,101,"parole",TRUE,TRUE,TRUE,"corrections",FALSE,TRUE,"fully_missing",0.5,NA
