"","city","round","CASEID","WORKGROUP","alter","weight","num_missing","num_response","var"
"1",1,1,101,"parole","corrections",4.42857142857143,0,7,"RC_scale"
"2",1,1,101,"parole","da_office",4.14285714285714,0,7,"RC_scale"
"3",1,1,101,"parole","police",4.85714285714286,0,7,"RC_scale"
"4",1,1,101,"parole","probation",4.42857142857143,0,7,"RC_scale"
"5",1,1,102,"family_social","city_govt",2.14285714285714,0,7,"RC_scale"
"6",1,1,102,"family_social","da_office",2.14285714285714,0,7,"RC_scale"
"7",1,1,102,"family_social","police",2,0,7,"RC_scale"
"8",1,1,102,"family_social","probation",1.85714285714286,0,7,"RC_scale"
"9",1,1,102,"family_social","school",2.85714285714286,0,7,"RC_scale"
"10",1,1,102,"family_social","youth_out",2.42857142857143,0,7,"RC_scale"
"11",1,1,103,"family_social","family_social",2.57142857142857,0,7,"RC_scale"
"12",1,1,103,"family_social","health",2.57142857142857,0,7,"RC_scale"
"13",1,1,103,"family_social","research",2.14285714285714,0,7,"RC_scale"
"14",1,1,103,"family_social","school",2.42857142857143,0,7,"RC_scale"
"15",1,1,103,"family_social","youth_out",2.71428571428571,0,7,"RC_scale"
"16",1,1,104,"family_social","city_govt",2.85714285714286,0,7,"RC_scale"
"17",1,1,104,"family_social","da_office",3.85714285714286,0,7,"RC_scale"
"18",1,1,104,"family_social","emp_devel",3.28571428571429,0,7,"RC_scale"
"19",1,1,104,"family_social","faith_based",2.14285714285714,0,7,"RC_scale"
"20",1,1,104,"family_social","family_social",3.42857142857143,0,7,"RC_scale"
"21",1,1,104,"family_social","health",3.71428571428571,0,7,"RC_scale"
"22",1,1,104,"family_social","police",3.85714285714286,0,7,"RC_scale"
"23",1,1,104,"family_social","research",3.14285714285714,0,7,"RC_scale"
"24",1,1,104,"family_social","school",3.28571428571429,0,7,"RC_scale"
"25",1,1,104,"family_social","youth_out",3.85714285714286,0,7,"RC_scale"
"26",1,1,105,"research","city_govt",4.71428571428571,0,7,"RC_scale"
"27",1,1,105,"research","corrections",3.28571428571429,0,7,"RC_scale"
"28",1,1,105,"research","da_office",3.42857142857143,0,7,"RC_scale"
"29",1,1,105,"research","emp_devel",3.28571428571429,0,7,"RC_scale"
"30",1,1,105,"research","faith_based",2.71428571428571,0,7,"RC_scale"
"31",1,1,105,"research","family_social",3.42857142857143,0,7,"RC_scale"
"32",1,1,105,"research","health",3,0,7,"RC_scale"
"33",1,1,105,"research","parole",3.28571428571429,0,7,"RC_scale"
"34",1,1,105,"research","police",3.85714285714286,0,7,"RC_scale"
"35",1,1,105,"research","probation",1.57142857142857,0,7,"RC_scale"
"36",1,1,105,"research","school",1.57142857142857,0,7,"RC_scale"
"37",1,1,105,"research","youth_out",3,0,7,"RC_scale"
"38",1,1,106,"city_govt","corrections",3.42857142857143,0,7,"RC_scale"
"39",1,1,106,"city_govt","da_office",3.71428571428571,0,7,"RC_scale"
"40",1,1,106,"city_govt","emp_devel",4.14285714285714,0,7,"RC_scale"
"41",1,1,106,"city_govt","faith_based",2.14285714285714,0,7,"RC_scale"
"42",1,1,106,"city_govt","family_social",4.14285714285714,0,7,"RC_scale"
"43",1,1,106,"city_govt","health",3.85714285714286,0,7,"RC_scale"
"44",1,1,106,"city_govt","parole",3.57142857142857,0,7,"RC_scale"
"45",1,1,106,"city_govt","police",4,0,7,"RC_scale"
"46",1,1,106,"city_govt","probation",2.28571428571429,0,7,"RC_scale"
"47",1,1,106,"city_govt","research",4.14285714285714,0,7,"RC_scale"
"48",1,1,106,"city_govt","school",3.14285714285714,0,7,"RC_scale"
"49",1,1,106,"city_govt","youth_out",4.14285714285714,0,7,"RC_scale"
"50",1,1,107,"health","family_social",4.57142857142857,0,7,"RC_scale"
"51",1,1,107,"health","health",4.57142857142857,0,7,"RC_scale"
"52",1,1,107,"health","parole",4.57142857142857,0,7,"RC_scale"
"53",1,1,107,"health","police",4.57142857142857,0,7,"RC_scale"
"54",1,1,107,"health","probation",4.57142857142857,0,7,"RC_scale"
"55",1,1,107,"health","school",4.71428571428571,0,7,"RC_scale"
"56",1,1,107,"health","youth_out",4.71428571428571,0,7,"RC_scale"
"57",1,1,108,"youth_out","city_govt",3,0,7,"RC_scale"
"58",1,1,108,"youth_out","da_office",4.42857142857143,0,7,"RC_scale"
"59",1,1,108,"youth_out","emp_devel",4.14285714285714,0,7,"RC_scale"
"60",1,1,108,"youth_out","family_social",4,0,7,"RC_scale"
"61",1,1,108,"youth_out","health",4.14285714285714,0,7,"RC_scale"
"62",1,1,108,"youth_out","parole",3.42857142857143,0,7,"RC_scale"
"63",1,1,108,"youth_out","police",4,0,7,"RC_scale"
"64",1,1,108,"youth_out","probation",3.57142857142857,0,7,"RC_scale"
"65",1,1,108,"youth_out","school",4.42857142857143,0,7,"RC_scale"
"66",1,1,108,"youth_out","youth_out",3.28571428571429,0,7,"RC_scale"
"67",1,1,109,"youth_out","city_govt",4.71428571428571,0,7,"RC_scale"
"68",1,1,109,"youth_out","youth_out",4.71428571428571,0,7,"RC_scale"
"69",1,1,110,"police","city_govt",4.14285714285714,0,7,"RC_scale"
"70",1,1,110,"police","corrections",4.14285714285714,0,7,"RC_scale"
"71",1,1,110,"police","da_office",4.42857142857143,0,7,"RC_scale"
"72",1,1,110,"police","emp_devel",4,0,7,"RC_scale"
"73",1,1,110,"police","faith_based",1.85714285714286,0,7,"RC_scale"
"74",1,1,110,"police","family_social",3.28571428571429,0,7,"RC_scale"
"75",1,1,110,"police","health",2.14285714285714,0,7,"RC_scale"
"76",1,1,110,"police","parole",4.71428571428571,0,7,"RC_scale"
"77",1,1,110,"police","police",5,0,7,"RC_scale"
"78",1,1,110,"police","probation",4.42857142857143,0,7,"RC_scale"
"79",1,1,110,"police","research",3,0,7,"RC_scale"
"80",1,1,110,"police","school",2.71428571428571,0,7,"RC_scale"
"81",1,1,110,"police","youth_out",4.57142857142857,0,7,"RC_scale"
"82",1,1,111,"police","city_govt",2.42857142857143,0,7,"RC_scale"
"83",1,1,111,"police","corrections",3.71428571428571,0,7,"RC_scale"
"84",1,1,111,"police","da_office",3.85714285714286,0,7,"RC_scale"
"85",1,1,111,"police","emp_devel",2.71428571428571,0,7,"RC_scale"
"86",1,1,111,"police","faith_based",1.57142857142857,0,7,"RC_scale"
"87",1,1,111,"police","family_social",2.14285714285714,0,7,"RC_scale"
"88",1,1,111,"police","health",1.57142857142857,0,7,"RC_scale"
"89",1,1,111,"police","parole",3.85714285714286,0,7,"RC_scale"
"90",1,1,111,"police","police",4,0,7,"RC_scale"
"91",1,1,111,"police","probation",3.85714285714286,0,7,"RC_scale"
"92",1,1,111,"police","research",2.42857142857143,0,7,"RC_scale"
"93",1,1,111,"police","school",2.14285714285714,0,7,"RC_scale"
"94",1,1,111,"police","youth_out",3.28571428571429,0,7,"RC_scale"
"95",1,1,112,"family_social","family_social",3.85714285714286,0,7,"RC_scale"
"96",1,1,112,"family_social","police",4,0,7,"RC_scale"
